City,Airport Code,Trip Distance(km), Total Distance(km)
Cordoba,COR,463.334747,927080.559009
Rosario,ROS,367.112007,927447.671016
Punta del Este,PDP,568.277736,928015.948752
Angouleme,ANG,10538.604999,938554.553750
Figari,FSC,854.619268,939409.173019
Aniak,ANI,8507.168563,947916.341581
Chuathbaluk,CHU,17.330589,947933.672170
Crooked Creek,CKD,65.341983,947999.014153
Red Devil,RDV,42.138630,948041.152783
Sleetmute,SLQ,13.744537,948054.897320
Stony River,SRV,31.760583,948086.657904
Antalaha,ANM,14392.896044,962479.553948
Maroantsetra,WMN,83.431446,962562.985393
Sambava,SVB,138.975938,962701.961331
Antsiranana,DIE,234.831196,962936.792527
Nosy-be,NOS,150.586768,963087.379295
Dzaoudzi,DZA,333.413855,963420.793150
Moroni,HAH,260.137686,963680.930836
Antananarivo,TNR,925.093312,964606.024148
Toamasina,TMM,215.841509,964821.865656
Sainte Marie,SMS,121.517825,964943.383482
St.-denis,RUN,732.240477,965675.623958
Plaisance,MRU,231.753935,965907.377894
St.-pierre,ZSE,254.796500,966162.174394
Antwerp,ANR,9469.093363,975631.267758
Andahuaylas,ANS,10364.949353,985996.217111
Lima,LIM,448.947267,986445.164378
Huánuco,HUU,258.155724,986703.320102
Antigua,ANU,3396.117870,990099.437972
Charlestown,NEV,85.039674,990184.477646
Basse Terre,SKB,18.019886,990202.497532
Philipsburg,SXM,91.070477,990293.568008
The Valley,AXA,19.089588,990312.657597
St. Thomas,STT,203.082710,990515.740306
Tortola,EIS,46.960088,990562.700394
San Juan,SJU,153.887472,990716.587866
Vieques Island,VQS,70.950098,990787.537964
St. Croix Island,STX,80.494677,990868.032641
Miami,MIA,1833.334401,992701.367042
Freeport,FPO,180.492062,992881.859104
Birmingham,BHM,1098.280852,993980.139956
Anvik,ANV,5906.360288,999886.500244
Grayling,KGX,28.283925,999914.784169
Shageluk,SHX,33.779053,999948.563222
Andoya,ANX,5335.164731,1005283.727952
Harstad/Narvik,EVE,91.618341,1005375.346293
Bodo,BOO,166.844467,1005542.190760
Mo i Rana,MQN,100.699914,1005642.890675
Mosjoen,MJF,80.982625,1005723.873300
Sandnessjoen,SSJ,38.976193,1005762.849493
Bronnoysund,BNN,56.308290,1005819.157783
Trondheim,TRD,231.239388,1006050.397171
Namsos,OSY,117.254576,1006167.651747
Rørvik,RVK,45.617485,1006213.269232
Eskissehir,AOE,3049.658702,1009262.927934
Ancona,AOI,1482.586305,1010745.514239
Berlin,TXL,994.464506,1011739.978745
Prague,PRG,281.626392,1012021.605137
Ostrava,OSR,279.444159,1012301.049296
Aomori,AOJ,8504.527377,1020805.576673
Sapporo,CTS,241.614954,1021047.191627
Hakodate,HKD,132.743416,1021179.935043
Nagoya,NGO,844.390270,1022024.325313
Ibaraki,IBR,358.263641,1022382.588954
Kobe,UKB,500.936322,1022883.525276
Miho,YGJ,204.579851,1023088.105127
Seoul,ICN,645.106104,1023733.211231
Taegu,TAE,263.519194,1023996.730426
Cheju,CJU,330.735620,1024327.466045
Muan,MWX,164.889339,1024492.355384
Shanghai,PVG,604.027050,1025096.382434
Zhoushan,HSN,144.641619,1025241.024053
Lianyungang,LYG,590.747903,1025831.771956
Xuzhou,XUZ,201.172361,1026032.944317
Changcha,CSX,759.943682,1026792.887999
Yongzhou,LLF,259.348261,1027052.236259
Shenzhen,SZX,468.297895,1027520.534155
Meixian,MXZ,303.749358,1027824.283513
Guangzhou,CAN,307.222483,1028131.505996
Hong Kong,HKG,136.005360,1028267.511356
Shantou,SWA,308.511006,1028576.022362
Zhuhai,ZUH,372.929052,1028948.951414
Wuzhou,WUZ,271.352414,1029220.303828
Karpathos,AOK,8016.019713,1037236.323542
Kasos,KSJ,21.381373,1037257.704914
Sitia,JSH,76.842033,1037334.546947
Alexandroupolis,AXD,627.241189,1037961.788136
Altoona,AOO,8194.089979,1046155.878115
Johnstown,JST,43.629569,1046199.507684
Alor Setar,AOR,14843.282312,1061042.789996
Kuala Lumpur,SZB,363.287202,1061406.077198
Kerteh,KTE,260.476624,1061666.553822
Amook Bay,AOS,10336.928492,1072003.482314
Zachar Bay,KZB,9.571256,1072013.053569
Nampula,APL,15170.861867,1087183.915437
Pemba,POL,270.959990,1087454.875427
Beira,BEW,965.178335,1088420.053762
Quelimane,UEL,298.651019,1088718.704781
Tete,TET,394.710309,1089113.415090
Lichinga,VXC,360.091366,1089473.506456
Alpena,APN,13299.013456,1102772.519912
Apartadó,APO,4274.818591,1107047.338503
Medellin,EOH,199.436854,1107246.775357
Quibdo,UIB,130.247748,1107377.023105
Cali,CLO,240.522038,1107617.545143
Guapi,GPI,200.201612,1107817.746755
Faleolo,APW,10519.292470,1118337.039225
Nandi,NAN,1209.738444,1119546.777668
Nausori,SUV,122.333172,1119669.110840
Vunisea,KDV,120.547450,1119789.658290
Anqing,AQG,8548.347194,1128338.005484
Wuhan,WUH,272.699547,1128610.705031
Xiangfan,XFN,236.970468,1128847.675499
Hafr Al-batin,AQI,6269.002948,1135116.678448
Aqaba,AQJ,1089.315200,1136205.993648
Arequipa,AQP,12472.907499,1148678.901147
Juliaca,JUL,180.728033,1148859.629180
Cuzco,CUZ,287.856516,1149147.485696
Puerto Maldonado,PEM,310.932146,1149458.417842
Arctic Village,ARC,10753.361672,1160211.779514
Venetie,VEE,127.448133,1160339.227646
Arkhangelsk,ARH,5397.442453,1165736.670100
Solovetsky Islands,CSH,235.263029,1165971.933129
Arica,ARI,12603.614061,1178575.547190
Iquique,IQQ,243.708805,1178819.255995
Arusha,ARK,11616.182652,1190435.438647
Armidale,ARM,12172.737049,1202608.175696
Sydney,SYD,382.315301,1202990.490997
Newcastle,NTL,143.136656,1203133.627653
Ballina Byron Bay,BNK,468.923691,1203602.551345
Watertown,ART,15348.952653,1218951.503998
Aracatuba,ARU,7697.786574,1226649.290572
Arad,ARW,10372.715383,1237022.005955
Ashkhabad,ASB,3162.068862,1240184.074817
Baku,GYD,767.059103,1240951.133920
Ganja,KVD,316.228175,1241267.362095
Aspen,ASE,10717.516351,1251984.878445
Astrakhan,ASF,10183.983161,1262168.861607
Mineralnye Vody,MRV,448.167760,1262617.029367
Yerevan,EVN,466.157027,1263083.186394
Beirut,BEY,1057.664649,1264140.851043
Larnaca,LCA,207.381582,1264348.232625
Heraklion,HER,769.665938,1265117.898563
Kos,KGS,235.872042,1265353.770605
Kalymnos,JKL,23.194249,1265376.964854
Leros,LRS,27.601824,1265404.566679
Astypalaia,JTY,77.143559,1265481.710238
Amami,ASJ,9235.856869,1274717.567107
Osaka,ITM,890.291395,1275607.858502
Matsuyama,MYJ,273.160571,1275881.019073
Okinawa,OKA,977.821373,1276858.840446
Kumejima,UEO,94.780788,1276953.621234
Asmara,ASM,9046.687944,1286000.309178
Khartoum,KRT,682.184779,1286682.493956
Port Sudan,PZU,654.953905,1287337.447862
Asosa,ASO,1084.839278,1288422.287140
Alice Springs,ASP,11395.059845,1299817.346985
Uluru,AYQ,333.489032,1300150.836017
Kayseri,ASR,12176.240172,1312327.076190
Amboseli National Park,ASV,4608.714477,1316935.790666
Anta,ATA,12676.314475,1329612.105141
Arthur's Town,ATC,3783.818997,1333395.924138
Atoifi,ATD,13775.814138,1347171.738277
Honiara,HIR,121.750361,1347293.488637
Marau,RUS,97.232938,1347390.721575
Altamira,ATM,16071.729786,1363462.451361
Santarem,STM,296.725757,1363759.177118
Oriximina,ORX,140.155323,1363899.332441
Amritsar,ATQ,13867.559554,1377766.891995
Srinagar,SXR,253.260572,1378020.152567
Jammu,IXJ,144.449802,1378164.602369
Leh,IXL,298.490745,1378463.093114
Delhi,DEL,620.713412,1379083.806526
Dehra Dun,DED,208.492034,1379292.298560
Lucknow,LKO,464.178405,1379756.476965
Patina,PAT,438.668619,1380195.145584
Ranchi,IXR,254.300517,1380449.446101
Austin TX,ATT,14042.497051,1394491.943153
Kasigluk,KUK,5745.922666,1400237.865818
Nunapitchuk,NUP,5.860090,1400243.725908
Appleton,ATW,5011.771796,1405255.497705
Sanford,SFB,1837.905002,1407093.402707
Asheville,AVL,750.495695,1407843.898402
Punta Gorda,PGD,948.433858,1408792.332260
Knoxville,TYS,1006.718188,1409799.050448
Asyut,ATZ,10257.681555,1420056.732003
Oranjestad,AUA,10440.396812,1430497.128815
Paraguana,LSP,81.486533,1430578.615348
Willemstad,CUR,137.334426,1430715.949773
Kralendijk,BON,75.417917,1430791.367691
Arauca,AUC,624.524537,1431415.892228
Bogota,BOG,459.926697,1431875.818925
Villavicencio,VVC,83.761704,1431959.580629
La Macarena,LMC,221.973851,1432181.554480
Augusta,AUG,4702.350576,1436883.905056
Alakanuk,AUK,5964.100395,1442848.005451
Emmonak,EMK,14.611040,1442862.616491
Kotlik,KOT,55.610282,1442918.226773
Stebbins,WBB,82.755311,1443000.982084
St. Michael,SMK,8.805164,1443009.787248
Unalakleet,UNK,78.351292,1443088.138541
Shaktoolik,SKK,57.506223,1443145.644764
Koyuk,KKA,63.282814,1443208.927578
Elim,ELI,64.028857,1443272.956435
Golovin,GLV,35.880446,1443308.836881
White Mountain,WMO,24.721720,1443333.558602
Nome,OME,98.909431,1443432.468033
Teller,TLA,91.301752,1443523.769785
Brevig Mission,KTS,11.711683,1443535.481468
Wales,WAA,81.858862,1443617.340329
Shishmaref,SHH,114.598041,1443731.938371
Hiva-oa,AUQ,8737.014335,1452468.952706
Ua Huka,UAH,109.967188,1452578.919894
Ua Pou,UAP,73.957390,1452652.877283
Nuku Hiva,NHV,64.010251,1452716.887534
Aurillac,AUR,14637.939510,1467354.827044
Aurukun,AUU,14820.152750,1482174.979794
Coen,CUQ,157.228641,1482332.208435
Lockhart River,IRG,110.247850,1482442.456285
Araguaina,AUX,17449.794241,1499892.250526
Maraba,MAB,229.337762,1500121.588288
Parauapebas,CKS,126.921452,1500248.509740
Belem,BEL,553.467144,1500801.976883
Breves,BVS,225.251263,1501027.228146
Anelghowhat,AUY,14997.610653,1516024.838800
Tanna,TAH,105.206733,1516130.045533
Aniwa,AWD,46.593057,1516176.638590
Futuna Island,FTA,72.596238,1516249.234828
Avignon,AVN,16979.398756,1533228.633584
Limoges,LIG,365.015448,1533593.649032
Bristol,BRS,677.136055,1534270.785087
Hawarden,CEG,200.411700,1534471.196787
Scranton,AVP,5396.443190,1539867.639977
Avalon,AVV,16587.229959,1556454.869935
Ataq,AXK,11658.278481,1568113.148417
Armenia,AXM,13345.626728,1581458.775144
Spring Point,AXP,2009.604488,1583468.379632
Colonel Hill,CRI,40.150661,1583508.530293
Arutua,AXR,8939.597974,1592448.128267
Kaukura Atoll,KKR,54.362222,1592502.490489
Akita,AXT,9714.435224,1602216.925714
Axum,AXU,9959.054027,1612175.979741
Lalibella,LLI,242.525943,1612418.505684
Gondar,GDQ,178.577912,1612597.083595
Ayacucho,AYP,12628.405911,1625225.489506
Antalya,AYT,12205.907493,1637431.396998
Trabzon,TZX,900.308304,1638331.705302
Mesa,AZA,11250.238456,1649581.943758
Provo,PVU,768.404947,1650350.348706
Yazd,AZD,11866.865937,1662217.214643
Madinah,MED,1642.697955,1663859.912598
Al-Ula,ULH,293.484205,1664153.396803
Andizhan,AZN,3516.059995,1667669.456798
Tashkent,TAS,259.628476,1667929.085274
Namangan,NMA,193.009935,1668122.095209
Chelyabinsk,CEK,1754.335269,1669876.430478
Dushanbe,DYU,1942.485182,1671818.915659
Nizhnekamsk,NBC,2247.295671,1674066.211330
Kalamazoo,AZO,8451.025221,1682517.236551
Adrar,AZR,7614.940959,1690132.177510
In Salah,INZ,273.913322,1690406.090832
Tamanrasset,TMR,575.590236,1690981.681068
El Golea,ELG,900.343819,1691882.024888
Ouargla,OGX,285.141751,1692167.166639
Zarzaitine,IAM,592.121739,1692759.288378
Hassi Messaoud,HME,525.492619,1693284.780997
Tilrempt,HRM,300.387121,1693585.168118
Samana,AZS,7313.832448,1700899.000566
Batman,BAL,10404.680122,1711303.680689
Barranquilla,BAQ,11434.949475,1722738.630164
Rio Negro,MDE,530.125363,1723268.755526
Bucaramanga,BGA,269.365362,1723538.120889
Panama City,PTY,715.795450,1724253.916339
Cartagena,CTG,450.706459,1724704.622798
Baotou,BAV,14315.631756,1739020.254554
Shijiazhuang,SJW,476.601393,1739496.855946
Tangshan,TVS,327.224538,1739824.080484
Barnaul,BAX,2999.452409,1742823.532894
Baia Mare,BAY,4166.541842,1746990.074736
Barcelos,BAZ,9817.783888,1756807.858624
Manaus,MAO,393.264005,1757201.122629
Coari,CIZ,362.242096,1757563.364725
Balmaceda,BBA,4724.581454,1762287.946179
Puerto Montt,PMC,510.466797,1762798.412975
Concepcion,CCP,518.868585,1763317.281561
Temuco,ZCO,224.879994,1763542.161554
Bhubaneswar,BBI,17099.291774,1780641.453328
Vishakhapatnam,VTZ,391.221338,1781032.674667
Madras,MAA,618.626238,1781651.300904
Tiruchirappalli,TRZ,295.031929,1781946.332833
Colombo,CMB,418.934818,1782365.267651
Sigiriya,GIU,74.648289,1782439.915940
Trinciomalee,TRR,135.367180,1782575.283121
Kasane,BBK,6812.847789,1789388.130909
Maun,MUB,299.622097,1789687.753006
Victoria Falls,VFA,328.027089,1790015.780095
Bulawayo,BUQ,361.857159,1790377.637254
Harare,HRE,348.571463,1790726.208718
Lusaka,LUN,403.430583,1791129.639301
Ndola,NLA,260.389897,1791390.029198
Lubumashi,FBM,199.122636,1791589.151834
Mbuji-mayi,MJM,747.853282,1792337.005116
Kinshasa,FIH,920.026246,1793257.031363
Brazzaville,BZV,25.946365,1793282.977728
Pointe-noire,PNR,378.396449,1793661.374177
Port Gentil,POG,573.801592,1794235.175769
Bario,BBN,11868.406327,1806103.582096
Marudi,MUR,137.504129,1806241.086224
Miri,MYY,40.488534,1806281.574758
Mulu,MZV,95.703624,1806377.278382
Bandar Seri Begawan,BWN,100.549965,1806477.828347
Kota Kinabalu,BKI,166.251887,1806644.080234
Labuan,LBU,113.430128,1806757.510362
Bacolod,BCD,1033.147390,1807790.657753
Cebu,CEB,120.680910,1807911.338663
Dumaguete,DGT,131.375471,1808042.714134
Manila,MNL,626.616133,1808669.330267
Naga,WNP,263.610101,1808932.940368
Barcaldine,BCI,4775.672308,1813708.612676
Longreach,LRE,105.735350,1813814.348026
Winton,WIN,170.672917,1813985.020942
Belmopan,BCV,14585.602527,1828570.623470
Belize City,BZE,58.001499,1828628.624969
Belize,TZA,1.203554,1828629.828523
Caye Caulker,CUK,35.883582,1828665.712104
San Pedro,SPR,20.964019,1828686.676123
Corozal,CZH,69.862251,1828756.538374
Bermuda,BDA,2835.494066,1831592.032440
Bundaberg,BDB,16329.501000,1847921.533440
Bandar Lengeh,BDH,11908.286027,1859829.819467
Banjarmasin,BDJ,7242.171023,1867071.990490
Laut Island,KBU,156.538680,1867228.529171
Ujung Pandang,UPG,424.083996,1867652.613167
Pomalaa,PUM,248.592735,1867901.205902
Windsor Locks,BDL,15583.167908,1883484.373811
Pittsburgh,PIT,651.433910,1884135.807720
Cincinnati,CVG,411.521645,1884547.329365
Nashville,BNA,370.267244,1884917.596610
Jackson,MKL,209.888206,1885127.484816
Memphis,MEM,114.496276,1885241.981092
Hot Springs,HOT,291.789708,1885533.770801
El Dorado,ELD,142.195836,1885675.966637
Bandung,BDO,16411.969710,1902087.936347
Yogyakarta,JOG,330.007225,1902417.943572
Surabaya,SUB,263.524837,1902681.468408
Semarang,SRG,270.027557,1902951.495965
Jakarta,CGK,421.377104,1903372.873069
Bandar Lampung-Sumatra Island,TKG,190.661325,1903563.534394
Batam,BTH,717.304864,1904280.839258
Pekanbaru,PKU,306.258726,1904587.097984
Singapore,SIN,300.251884,1904887.349868
Kuantan,KUA,283.429005,1905170.778873
Penang,PEN,366.423451,1905537.202324
Pulau,LGK,129.849228,1905667.051552
Kuching,KCH,1294.974784,1906962.026336
Tanjung Manis,TGC,122.356424,1907084.382759
Chandragarhi,BDP,3666.296674,1910750.679434
Baroda,BDQ,1574.246840,1912324.926274
Brindisi,BDS,5522.281821,1917847.208095
Treviso,TSF,724.668615,1918571.876710
Budapest,BUD,575.244821,1919147.121531
Thessaloniki,SKG,824.355929,1919971.477460
Limnos,LXS,203.676682,1920175.154142
Mytilini,MJT,151.043975,1920326.198118
Chios,JKH,88.725889,1920414.924007
Rhodos,RHO,275.637721,1920690.561727
Kastelorizo,KZS,136.270315,1920826.832042
Bardufoss,BDU,3723.428313,1924550.260355
Benbecula,BEB,1799.880558,1926350.140913
Stornoway,SYY,101.959429,1926452.100343
Inverness,INV,154.358346,1926606.458688
Kirkwall,KOI,170.975667,1926777.434355
Stronsay,SOY,26.637511,1926804.071866
Sanday,NDY,11.187690,1926815.259556
Tanjung Redep-Borneo Island,BEJ,11441.686253,1938256.945809
Balikpapan,BPN,385.371778,1938642.317587
Palu,PLW,337.457560,1938979.775148
Brest,BES,12532.354212,1951512.129360
Bedourie,BEU,15879.936420,1967392.065780
Boulia,BQL,165.504922,1967557.570702
Mount Isa,ISA,253.703488,1967811.274190
Cloncurry,CNJ,105.641963,1967916.916153
Bradford,BFD,15668.905175,1983585.821327
Jamestown,JHW,64.233460,1983650.054788
Cleveland,CLE,230.163848,1983880.218636
Erie,ERI,157.581408,1984037.800043
Scottsbluff,BFF,1929.992998,1985967.793041
Bakersfield,BFL,1518.377488,1987486.170530
Bloemfontein,BFN,16700.247240,2004186.417769
Johannesburg,JNB,380.149858,2004566.567627
Polokwane,PTG,275.900929,2004842.468556
Bahia Piña,BFQ,12141.770456,2016984.239012
Jaqué,JQE,8.651695,2016992.890706
Buri Ram,BFV,17480.929288,2034473.819994
Bangkok,DMK,320.243699,2034794.063694
Phitsanulok,PHS,321.096188,2035115.159881
Bangui,BGF,8990.557621,2044105.717502
Yaounde,NSI,776.226226,2044881.943728
Douala,DLA,205.872327,2045087.816054
Malabo,SSG,115.550213,2045203.366268
Bata,BSG,239.057286,2045442.423554
Bingol,BGG,5161.111919,2050603.535473
Bridgetown,BGI,9949.430516,2060552.965989
Kingstown,SVD,186.259108,2060739.225097
Castries,SLU,100.205723,2060839.430820
Fort-de-france,FDF,63.480207,2060902.911027
Pointe-a-pitre,PTP,194.601945,2061097.512972
Dominica,DOM,83.627198,2061181.140171
Binghamton,BGM,3279.964883,2064461.105054
Bangor,BGR,644.782018,2065105.887072
Baghdad,BGW,9021.652597,2074127.539668
Tbilisi,TBS,936.921924,2075064.461593
Batumi,BUS,278.862597,2075343.324190
Dnepropetrovsk,DNK,907.064619,2076250.388809
Kiev,KBP,376.290194,2076626.679003
Kharkov,HRK,387.282707,2077013.961711
Kutaisi,KUT,984.411907,2077998.373617
Donetsk,DOK,753.581014,2078751.954631
Bar Harbor,BHB,7463.917229,2086215.871860
Bisha,BHH,10013.268529,2096229.140389
Bahia Blanca,BHI,12636.048501,2108865.188890
Mar Del Plata,MDQ,410.377568,2109275.566458
Bhuj,BHJ,14784.500024,2124060.066482
Bukhara,BHK,1897.103949,2125957.170432
Bhopal,BHO,2195.829193,2128152.999625
Broken Hill,BHQ,9174.947981,2137327.947605
Mildura,MQL,254.232789,2137582.180394
Bathurst,BHS,704.699528,2138286.879922
Parkes,PKE,134.952072,2138421.831993
Bhaunagar,BHU,10103.724029,2148525.556022
Bahawalpur,BHV,845.921122,2149371.477144
Lahore,LHE,353.105837,2149724.582980
Multan,MUX,320.355127,2150044.938108
Quetta,UET,430.556744,2150475.494852
Zhob,PZH,270.814932,2150746.309784
Dera Ismael Khan,DSK,148.862747,2150895.172532
Beihai,BHY,3960.823126,2154855.995658
Haikou,HAK,215.655992,2155071.651649
Zhanjiang,ZHA,142.666453,2155214.318102
Sanya,SYX,338.529610,2155552.847712
Liuzhou,LZH,656.565593,2156209.413305
Kunming,KMG,677.644634,2156887.057939
Wenshan,WNH,235.464047,2157122.521986
Biak,BIK,4396.667269,2161519.189254
Billings,BIL,12037.860335,2173557.049589
Havre,HVR,317.751642,2173874.801232
Biarritz-bayonne,BIQ,7625.729467,2181500.530698
Dublin,DUB,1160.117225,2182660.647924
Blackpool,BLK,217.404183,2182878.052107
Dalaman,DLM,3088.274570,2185966.326677
Hannover,HAJ,2299.736098,2188266.062776
Milano,MXP,762.688256,2189028.751031
Lamezia,SUF,969.402379,2189998.153410
Weeze,NRN,1614.658043,2191612.811454
Edinburgh,EDI,789.157229,2192401.968683
Wick,WIC,279.482280,2192681.450962
Biratnagar,BIR,7544.018242,2200225.469204
Bismarck,BIS,11829.376864,2212054.846069
Bojnourd,BJB,10393.410939,2222448.257008
Batsfjord,BJF,4018.077903,2226466.334911
Berlevag,BVG,39.024839,2226505.359750
Mehamn,MEH,46.285803,2226551.645553
Honningsvag,HVG,72.377854,2226624.023407
Bemidji,BJI,6029.219376,2232653.242783
Banjul,BJL,8042.357360,2240695.600142
Dakar,DKR,180.184006,2240875.784148
Ziguinchor,ZIG,275.733950,2241151.518098
Cap Skiring,CSK,52.941623,2241204.459721
Bujumbura,BJM,5380.925363,2246585.385084
Kigali,KGL,176.149900,2246761.534985
Kamembe,KME,147.431692,2246908.966677
Bahar Dar,BJR,1820.178003,2248729.144680
Bodrum,BJV,3009.643959,2251738.788638
Eindhoven,EIN,2356.626237,2254095.414876
Rotterdam,RTM,85.717668,2254181.132544
Bergerac,EGC,843.823570,2255024.956114
Perigueux,PGX,47.571613,2255072.527727
Del Bajio,BJX,9279.061968,2264351.589696
Cancun,CUN,1515.332592,2265866.922288
Cozumel,CZM,57.390572,2265924.312860
Badajoz,BJZ,7760.864851,2273685.177711
Buckland,BKC,8146.675415,2281831.853126
Deering,DRG,73.700437,2281905.553563
Branson,BKG,5433.027909,2287338.581472
Bakalalan,BKM,14608.885242,2301947.466713
Lawas,LWY,100.060652,2302047.527365
Bamako,BKO,13465.443656,2315512.971021
Conakry,CKY,699.847250,2316212.818270
Bissau,OXB,340.849835,2316553.668106
Blackall,BKQ,17583.535510,2334137.203616
Bengkulu,BKS,5144.921661,2339282.125277
Beckley,BKW,16226.547514,2355508.672791
Weyers Cave,SHD,202.200730,2355710.873520
Bukavu/kavumu,BKY,11706.629590,2367417.503110
Kindu,KND,328.483677,2367745.986787
Bukoba,BKZ,678.211003,2368424.197790
Mwanza,MWZ,178.998640,2368603.196430
Boulder City,BLD,15035.964721,2383639.161152
Grand Canyon West,GCW,93.027374,2383732.188525
Borlange,BLE,8374.270957,2392106.459483
Orebro,ORB,135.886277,2392242.345759
Malmoe,MMX,422.641119,2392664.986879
Katowice,KTW,679.189402,2393344.176281
Dortmund,DTM,810.038147,2394154.214428
Heringsdorf,HDF,512.646008,2394666.860436
Batna,BLJ,2105.317758,2396772.178194
Billund,BLL,2233.046294,2399005.224488
Esbjerg,EBJ,44.484934,2399049.709422
Belleville,BLV,7040.097424,2406089.806846
Blantyre,BLZ,14093.407127,2420183.213973
Lilongwe,LLW,246.189132,2420429.403105
Broome,BME,9379.775863,2429809.178969
Port Hedland,PHE,472.372709,2430281.551678
Perth,PER,1312.645686,2431594.197363
Brusselton,BQB,201.339114,2431795.536477
Bloomington,BMI,17738.590442,2449534.126920
Bima,BMU,15537.248052,2465071.374971
Praya,LOP,266.106290,2465337.481262
Denpasar,DPS,121.938555,2465459.419817
Malang,MLG,284.884219,2465744.304036
Buonmethuot,BMV,2345.635572,2468089.939608
Ho Chi Minh City,SGN,260.476754,2468350.416362
Rach Gia,VKG,192.124636,2468542.540998
Bordj Badji Mokhtar,BMW,11045.347033,2479587.888031
Waala,BMY,18209.202074,2497797.090105
Koumac,KOC,110.831999,2497907.922104
Noumea,GEA,298.192514,2498206.114617
Île des Pins,ILP,107.538757,2498313.653374
Benin,BNI,17358.493630,2515672.147005
Barinas,BNS,8350.187343,2524022.334348
Caracas,CCS,417.193610,2524439.527958
Barquisimeto,BRM,266.438220,2524705.966178
Porlamar,PMV,597.335787,2525303.301965
Maturin,MUN,157.100556,2525460.402522
Bellona,BNY,15320.116117,2540780.518638
Rennell Island,RNL,38.556875,2540819.075514
Bocas Del Toro,BOC,13209.292574,2554028.368088
Bournemouth,BOH,8530.917521,2562559.285609
Carcassonne,CCF,897.635496,2563456.921105
Porto,OPO,929.968776,2564386.889880
La Rochelle,LRH,813.376559,2565200.266439
Poitiers,PIS,123.837875,2565324.104314
Shannon,SNN,949.371563,2566273.475876
Liverpool,LPL,412.262634,2566685.738510
Londonderry,LDY,338.736028,2567024.474538
Prestwick,PIK,171.108483,2567195.583021
Reus,REU,1651.264354,2568846.847375
East Midlands,EMA,1312.671816,2570159.519191
Dinard,DNR,474.801360,2570634.320552
Boise,BOI,7926.850573,2578561.171125
Lewiston,LWS,318.627552,2578879.798677
Pullman,PUW,41.697714,2578921.496390
Porto Seguro,BPS,10452.422435,2589373.918826
Salvador,SSA,400.455910,2589774.374736
Ilheus,IOS,224.976029,2589999.350765
Brasilia,BSB,959.911945,2590959.262709
Goiania,GYN,162.723764,2591121.986473
Uberlandia,UDI,271.554728,2591393.541201
Uberaba,UBA,101.837422,2591495.378623
Beaumont,BPT,7406.414841,2598901.793463
Bangda,BPX,13185.056135,2612086.849599
Lhasa,LXA,613.157089,2612700.006688
Nyingchi,LZY,331.948718,2613031.955405
Brunswick,BQK,13266.265460,2626298.220865
Aguadilla,BQN,2022.350043,2628320.570908
Blagoveschensk,BQS,12219.862184,2640540.433092
Vladivostok,VVO,859.691117,2641400.124209
Pyongyang,FNJ,712.509626,2642112.633835
Shenyang,SHE,313.553795,2642426.187630
Baishan,NBS,361.944936,2642788.132566
Changchun,CGQ,255.629599,2643043.762164
Yanji,YNJ,358.512701,2643402.274865
Qingdao,TAO,1069.568377,2644471.843242
Qinhuangdao,SHP,415.469727,2644887.312970
Barreiras,BRA,16571.362457,2661458.675427
San Carlos De Bariloche,BRC,4114.187793,2665572.863220
Esquel,EQS,195.350501,2665768.213721
Comodoro Rivadavia,CRD,433.168965,2666201.382686
Trelew,REL,335.059192,2666536.441878
Brainerd,BRD,10362.160257,2676898.602135
International Falls,INL,247.300704,2677145.902838
Burlington,BRL,883.855771,2678029.758610
Bern,BRN,7389.213577,2685418.972187
Marina Di Campo,EBA,509.908066,2685928.880252
Friedrichshafen,FDH,549.044323,2686477.924575
Zadar,ZAD,600.471249,2687078.395824
Pula,PUY,142.781955,2687221.177780
Beauvais,BVA,1024.990133,2688246.167913
Beziers,BZR,688.314056,2688934.481969
Rygge,RYG,1855.632984,2690790.114953
Riga,RIX,818.781321,2691608.896274
Palanga,PLQ,205.972320,2691814.868594
Brownsville,BRO,9229.804593,2701044.673188
Brno,BRQ,9432.928816,2710477.602004
Barra,BRR,1820.513979,2712298.115983
Bosaso,BSA,6977.100234,2719275.216217
Galcaio,GLK,533.272132,2719808.488349
Bahia Solano,BSC,13728.046189,2733536.534538
Baoshan,BSD,16519.710973,2750056.245511
Biskra,BSK,8743.391219,2758799.636729
Basco,BSO,10907.829071,2769707.465800
Basrah,BSR,7415.575354,2777123.041154
Banda Aceh,BTJ,5704.791383,2782827.832537
Bratsk,BTK,5681.044756,2788508.877293
Butte,BTM,8199.318055,2796708.195348
Baton Rouge,BTR,2518.003658,2799226.199006
Bratislava,BTS,8740.361572,2807966.560578
Kosice,KSC,302.275180,2808268.835758
Bintulu,BTU,9877.320921,2818146.156679
Sibu,SBW,149.705710,2818295.862388
Johor Bahru,JHB,926.692658,2819222.555046
Kota Bahru,KBR,525.868446,2819748.423492
Buka Island,BUA,5955.267485,2825703.690978
Tokua,RAB,281.084304,2825984.775282
Londolovit,LNV,146.826202,2826131.601484
Port Moresby,POM,929.235706,2827060.837191
Girua,PNP,139.064882,2827199.902073
Tufi,TFI,115.079875,2827314.981947
Burketown,BUC,1430.977387,2828745.959334
Doomadgee,DMD,78.318563,2828824.277897
Mornington Island,ONG,147.025318,2828971.303216
Normanton,NTN,230.849484,2829202.152700
